Year,Income,Province,Average Income Tax
2005,1000,Alberta,0.0
2005,1100,Alberta,0.0
2005,1200,Alberta,0.0
2005,1300,Alberta,0.0
2005,1400,Alberta,0.0
2005,1500,Alberta,0.0
2005,1600,Alberta,0.0
2005,1700,Alberta,0.0
2005,1800,Alberta,0.0
2005,1900,Alberta,0.0
2005,2000,Alberta,0.0
2005,2100,Alberta,0.0
2005,2200,Alberta,0.0
2005,2300,Alberta,0.0
2005,2400,Alberta,0.0
2005,2500,Alberta,0.0
2005,2600,Alberta,0.0
2005,2700,Alberta,0.0
2005,2800,Alberta,0.0
2005,2900,Alberta,0.0
2005,3000,Alberta,0.0
2005,3100,Alberta,0.0
2005,3200,Alberta,0.0
2005,3300,Alberta,0.0
2005,3400,Alberta,0.0
2005,3500,Alberta,0.0
2005,3600,Alberta,0.0
2005,3700,Alberta,0.0
2005,3800,Alberta,0.0
2005,3900,Alberta,0.0
2005,4000,Alberta,0.0
2005,4100,Alberta,0.0
2005,4200,Alberta,0.0
2005,4300,Alberta,0.0
2005,4400,Alberta,0.0
2005,4500,Alberta,0.0
2005,4600,Alberta,0.0
2005,4700,Alberta,0.0
2005,4800,Alberta,0.0
2005,4900,Alberta,0.0
2005,5000,Alberta,0.0
2005,5100,Alberta,0.0
2005,5200,Alberta,0.0
2005,5300,Alberta,0.0
2005,5400,Alberta,0.0
2005,5500,Alberta,0.0
2005,5600,Alberta,0.0
2005,5700,Alberta,0.0
2005,5800,Alberta,0.0
2005,5900,Alberta,0.0
2005,6000,Alberta,0.0
2005,6100,Alberta,0.0
2005,6200,Alberta,0.0
2005,6300,Alberta,0.0
2005,6400,Alberta,0.0
2005,6500,Alberta,0.0
2005,6600,Alberta,0.0
2005,6700,Alberta,0.0
2005,6800,Alberta,0.0
2005,6900,Alberta,0.0
2005,7000,Alberta,0.0
2005,7100,Alberta,0.0
2005,7200,Alberta,0.0
2005,7300,Alberta,0.0
2005,7400,Alberta,0.0
2005,7500,Alberta,0.0
2005,7600,Alberta,0.0
2005,7700,Alberta,0.0
2005,7800,Alberta,0.0
2005,7900,Alberta,0.0
2005,8000,Alberta,0.0
2005,8100,Alberta,0.0
2005,8200,Alberta,0.0
2005,8300,Alberta,0.0
2005,8400,Alberta,0.0
2005,8500,Alberta,0.0
2005,8600,Alberta,0.0
2005,8700,Alberta,0.0
2005,8800,Alberta,0.0
2005,8900,Alberta,0.0
2005,9000,Alberta,0.0
2005,9100,Alberta,0.0
2005,9200,Alberta,0.0
2005,9300,Alberta,0.0
2005,9400,Alberta,0.0
2005,9500,Alberta,0.0
2005,9600,Alberta,0.0
2005,9700,Alberta,0.0
2005,9800,Alberta,0.0
2005,9900,Alberta,0.0
2005,10000,Alberta,0.0
2005,11000,Alberta,0.0
2005,12000,Alberta,0.0
2005,13000,Alberta,0.0
2005,14000,Alberta,0.0
2005,15000,Alberta,0.32
2005,16000,Alberta,0.92
2005,17000,Alberta,1.46
2005,18000,Alberta,1.93
2005,19000,Alberta,2.36
2005,20000,Alberta,2.74
2005,21000,Alberta,3.08
2005,22000,Alberta,3.4
2005,23000,Alberta,3.69
2005,24000,Alberta,3.95
2005,25000,Alberta,4.19
2005,26000,Alberta,4.41
2005,27000,Alberta,4.62
2005,28000,Alberta,4.81
2005,29000,Alberta,4.99
2005,30000,Alberta,5.16
2005,31000,Alberta,5.32
2005,32000,Alberta,5.46
2005,33000,Alberta,5.6
2005,34000,Alberta,5.73
2005,35000,Alberta,5.85
2005,36000,Alberta,5.97
