"Province","Income","Total"
"Newfoundland and Labrador","5000","26410"
"Newfoundland and Labrador","5000","391120"
"Newfoundland and Labrador","10000","362510"
"Newfoundland and Labrador","15000","322880"
"Newfoundland and Labrador","20000","274760"
"Newfoundland and Labrador","25000","236890"
"Newfoundland and Labrador","35000","179420"
"Newfoundland and Labrador","50000","116080"
"Newfoundland and Labrador","75000","61750"
"Newfoundland and Labrador","100000","31610"
"Newfoundland and Labrador","150000","9860"
"Newfoundland and Labrador","200000","4130"
"Newfoundland and Labrador","250000","2330"
"Prince Edward Island","5000","6600"
"Prince Edward Island","5000","103730"
"Prince Edward Island","10000","96130"
"Prince Edward Island","15000","86700"
"Prince Edward Island","20000","74400"
"Prince Edward Island","25000","64380"
"Prince Edward Island","35000","46350"
"Prince Edward Island","50000","25740"
"Prince Edward Island","75000","9700"
"Prince Edward Island","100000","4270"
"Prince Edward Island","150000","1260"
"Prince Edward Island","200000","570"
"Prince Edward Island","250000","300"
"Nova Scotia","5000","48210"
"Nova Scotia","5000","667810"
"Nova Scotia","10000","611220"
"Nova Scotia","15000","547620"
"Nova Scotia","20000","471870"
"Nova Scotia","25000","409980"
"Nova Scotia","35000","308950"
"Nova Scotia","50000","189300"
"Nova Scotia","75000","84640"
"Nova Scotia","100000","36590"
"Nova Scotia","150000","11130"
"Nova Scotia","200000","4960"
"Nova Scotia","250000","2800"
"New Brunswick","5000","35880"
"New Brunswick","5000","551170"
"New Brunswick","10000","501990"
"New Brunswick","15000","452160"
"New Brunswick","20000","384480"
"New Brunswick","25000","330200"
"New Brunswick","35000","240350"
"New Brunswick","50000","139990"
"New Brunswick","75000","60090"
"New Brunswick","100000","25880"
"New Brunswick","150000","7470"
"New Brunswick","200000","3210"
"New Brunswick","250000","1820"
"Quebec","5000","385080"
"Quebec","5000","5919780"
"Quebec","10000","5497250"
"Quebec","15000","4878200"
"Quebec","20000","4192210"
"Quebec","25000","3639630"
"Quebec","35000","2769110"
"Quebec","50000","1648230"
"Quebec","75000","688930"
"Quebec","100000","313520"
"Quebec","150000","103520"
"Quebec","200000","52940"
"Quebec","250000","32780"
"Ontario","5000","805190"
"Ontario","5000","9062090"
"Ontario","10000","8375390"
"Ontario","15000","7457070"
"Ontario","20000","6545820"
"Ontario","25000","5772340"
"Ontario","35000","4582210"
"Ontario","50000","3087320"
"Ontario","75000","1574090"
"Ontario","100000","766990"
"Ontario","150000","265550"
"Ontario","200000","136290"
"Ontario","250000","86300"
"Manitoba","5000","74810"
"Manitoba","5000","844700"
"Manitoba","10000","780020"
"Manitoba","15000","703190"
"Manitoba","20000","618240"
"Manitoba","25000","542410"
"Manitoba","35000","414850"
"Manitoba","50000","254510"
"Manitoba","75000","113150"
"Manitoba","100000","48250"
"Manitoba","150000","14390"
"Manitoba","200000","7140"
"Manitoba","250000","4390"
"Saskatchewan","5000","52920"
"Saskatchewan","5000","750030"
"Saskatchewan","10000","704040"
"Saskatchewan","15000","645870"
"Saskatchewan","20000","571130"
"Saskatchewan","25000","510550"
"Saskatchewan","35000","409130"
"Saskatchewan","50000","273710"
"Saskatchewan","75000","140240"
"Saskatchewan","100000","68700"
"Saskatchewan","150000","19980"
"Saskatchewan","200000","8440"
"Saskatchewan","250000","4830"
"Alberta","5000","206520"
"Alberta","5000","2693220"
"Alberta","10000","2533440"
"Alberta","15000","2354610"
"Alberta","20000","2140360"
"Alberta","25000","1930440"
"Alberta","35000","1608970"
"Alberta","50000","1190900"
"Alberta","75000","703410"
"Alberta","100000","407850"
"Alberta","150000","162280"
"Alberta","200000","81630"
"Alberta","250000","47640"
"British Columbia","5000","318970"
"British Columbia","5000","3152430"
"British Columbia","10000","2921690"
"British Columbia","15000","2596850"
"British Columbia","20000","2260240"
"British Columbia","25000","1982160"
"British Columbia","35000","1553950"
"British Columbia","50000","1026990"
"British Columbia","75000","505010"
"British Columbia","100000","242840"
"British Columbia","150000","79280"
"British Columbia","200000","38730"
"British Columbia","250000","23410"
"Yukon","5000","1310"
"Yukon","5000","24920"
"Yukon","10000","23710"
"Yukon","15000","22120"
"Yukon","20000","20190"
"Yukon","25000","18370"
"Yukon","35000","15390"
"Yukon","50000","11470"
"Yukon","75000","6090"
"Yukon","100000","2660"
"Yukon","150000","660"
"Yukon","200000","230"
"Yukon","250000","110"
"Northwest Territories","5000","2610"
"Northwest Territories","5000","27470"
"Northwest Territories","10000","25510"
"Northwest Territories","15000","23370"
"Northwest Territories","20000","21290"
"Northwest Territories","25000","19560"
"Northwest Territories","35000","17050"
"Northwest Territories","50000","13860"
"Northwest Territories","75000","9580"
"Northwest Territories","100000","5850"
"Northwest Territories","150000","1360"
"Northwest Territories","200000","470"
"Northwest Territories","250000","250"
"Nunavut","5000","2150"
"Nunavut","5000","17420"
"Nunavut","10000","15140"
"Nunavut","15000","13470"
"Nunavut","20000","11960"
"Nunavut","25000","10610"
"Nunavut","35000","8710"
"Nunavut","50000","6850"
"Nunavut","75000","5050"
"Nunavut","100000","3160"
"Nunavut","150000","710"
"Nunavut","200000","220"
"Nunavut","250000","80"
