Ref_Date,GEO,SEX,AGE,INC,Value
2013,Newfoundland and Labrador,Both sexes,All age groups,"Persons with income under $5,000",26410
2013,Newfoundland and Labrador,Both sexes,All age groups,"Persons with income of $5,000 and over",391120
2013,Newfoundland and Labrador,Both sexes,All age groups,"Persons with income of $10,000 and over",362510
2013,Newfoundland and Labrador,Both sexes,All age groups,"Persons with income of $15,000 and over",322880
2013,Newfoundland and Labrador,Both sexes,All age groups,"Persons with income of $20,000 and over",274760
2013,Newfoundland and Labrador,Both sexes,All age groups,"Persons with income of $25,000 and over",236890
2013,Newfoundland and Labrador,Both sexes,All age groups,"Persons with income of $35,000 and over",179420
2013,Newfoundland and Labrador,Both sexes,All age groups,"Persons with income of $50,000 and over",116080
2013,Newfoundland and Labrador,Both sexes,All age groups,"Persons with income of $75,000 and over",61750
2013,Newfoundland and Labrador,Both sexes,All age groups,"Persons with income of $100,000 and over",31610
2013,Newfoundland and Labrador,Both sexes,All age groups,"Persons with income of $150,000 and over",9860
2013,Newfoundland and Labrador,Both sexes,All age groups,"Persons with income of $200,000 and over",4130
2013,Newfoundland and Labrador,Both sexes,All age groups,"Persons with income of $250,000 and over",2330
2013,Prince Edward Island,Both sexes,All age groups,"Persons with income under $5,000",6600
2013,Prince Edward Island,Both sexes,All age groups,"Persons with income of $5,000 and over",103730
2013,Prince Edward Island,Both sexes,All age groups,"Persons with income of $10,000 and over",96130
2013,Prince Edward Island,Both sexes,All age groups,"Persons with income of $15,000 and over",86700
2013,Prince Edward Island,Both sexes,All age groups,"Persons with income of $20,000 and over",74400
2013,Prince Edward Island,Both sexes,All age groups,"Persons with income of $25,000 and over",64380
2013,Prince Edward Island,Both sexes,All age groups,"Persons with income of $35,000 and over",46350
2013,Prince Edward Island,Both sexes,All age groups,"Persons with income of $50,000 and over",25740
2013,Prince Edward Island,Both sexes,All age groups,"Persons with income of $75,000 and over",9700
2013,Prince Edward Island,Both sexes,All age groups,"Persons with income of $100,000 and over",4270
2013,Prince Edward Island,Both sexes,All age groups,"Persons with income of $150,000 and over",1260
2013,Prince Edward Island,Both sexes,All age groups,"Persons with income of $200,000 and over",570
2013,Prince Edward Island,Both sexes,All age groups,"Persons with income of $250,000 and over",300
2013,Nova Scotia,Both sexes,All age groups,"Persons with income under $5,000",48210
2013,Nova Scotia,Both sexes,All age groups,"Persons with income of $5,000 and over",667810
2013,Nova Scotia,Both sexes,All age groups,"Persons with income of $10,000 and over",611220
2013,Nova Scotia,Both sexes,All age groups,"Persons with income of $15,000 and over",547620
2013,Nova Scotia,Both sexes,All age groups,"Persons with income of $20,000 and over",471870
2013,Nova Scotia,Both sexes,All age groups,"Persons with income of $25,000 and over",409980
2013,Nova Scotia,Both sexes,All age groups,"Persons with income of $35,000 and over",308950
2013,Nova Scotia,Both sexes,All age groups,"Persons with income of $50,000 and over",189300
2013,Nova Scotia,Both sexes,All age groups,"Persons with income of $75,000 and over",84640
2013,Nova Scotia,Both sexes,All age groups,"Persons with income of $100,000 and over",36590
2013,Nova Scotia,Both sexes,All age groups,"Persons with income of $150,000 and over",11130
2013,Nova Scotia,Both sexes,All age groups,"Persons with income of $200,000 and over",4960
2013,Nova Scotia,Both sexes,All age groups,"Persons with income of $250,000 and over",2800
2013,New Brunswick,Both sexes,All age groups,"Persons with income under $5,000",35880
2013,New Brunswick,Both sexes,All age groups,"Persons with income of $5,000 and over",551170
2013,New Brunswick,Both sexes,All age groups,"Persons with income of $10,000 and over",501990
2013,New Brunswick,Both sexes,All age groups,"Persons with income of $15,000 and over",452160
2013,New Brunswick,Both sexes,All age groups,"Persons with income of $20,000 and over",384480
2013,New Brunswick,Both sexes,All age groups,"Persons with income of $25,000 and over",330200
2013,New Brunswick,Both sexes,All age groups,"Persons with income of $35,000 and over",240350
2013,New Brunswick,Both sexes,All age groups,"Persons with income of $50,000 and over",139990
2013,New Brunswick,Both sexes,All age groups,"Persons with income of $75,000 and over",60090
2013,New Brunswick,Both sexes,All age groups,"Persons with income of $100,000 and over",25880
2013,New Brunswick,Both sexes,All age groups,"Persons with income of $150,000 and over",7470
2013,New Brunswick,Both sexes,All age groups,"Persons with income of $200,000 and over",3210
2013,New Brunswick,Both sexes,All age groups,"Persons with income of $250,000 and over",1820
2013,Quebec,Both sexes,All age groups,"Persons with income under $5,000",385080
2013,Quebec,Both sexes,All age groups,"Persons with income of $5,000 and over",5919780
2013,Quebec,Both sexes,All age groups,"Persons with income of $10,000 and over",5497250
2013,Quebec,Both sexes,All age groups,"Persons with income of $15,000 and over",4878200
2013,Quebec,Both sexes,All age groups,"Persons with income of $20,000 and over",4192210
2013,Quebec,Both sexes,All age groups,"Persons with income of $25,000 and over",3639630
2013,Quebec,Both sexes,All age groups,"Persons with income of $35,000 and over",2769110
2013,Quebec,Both sexes,All age groups,"Persons with income of $50,000 and over",1648230
2013,Quebec,Both sexes,All age groups,"Persons with income of $75,000 and over",688930
2013,Quebec,Both sexes,All age groups,"Persons with income of $100,000 and over",313520
2013,Quebec,Both sexes,All age groups,"Persons with income of $150,000 and over",103520
2013,Quebec,Both sexes,All age groups,"Persons with income of $200,000 and over",52940
2013,Quebec,Both sexes,All age groups,"Persons with income of $250,000 and over",32780
2013,Ontario,Both sexes,All age groups,"Persons with income under $5,000",805190
2013,Ontario,Both sexes,All age groups,"Persons with income of $5,000 and over",9062090
2013,Ontario,Both sexes,All age groups,"Persons with income of $10,000 and over",8375390
2013,Ontario,Both sexes,All age groups,"Persons with income of $15,000 and over",7457070
2013,Ontario,Both sexes,All age groups,"Persons with income of $20,000 and over",6545820
2013,Ontario,Both sexes,All age groups,"Persons with income of $25,000 and over",5772340
2013,Ontario,Both sexes,All age groups,"Persons with income of $35,000 and over",4582210
2013,Ontario,Both sexes,All age groups,"Persons with income of $50,000 and over",3087320
2013,Ontario,Both sexes,All age groups,"Persons with income of $75,000 and over",1574090
2013,Ontario,Both sexes,All age groups,"Persons with income of $100,000 and over",766990
2013,Ontario,Both sexes,All age groups,"Persons with income of $150,000 and over",265550
2013,Ontario,Both sexes,All age groups,"Persons with income of $200,000 and over",136290
2013,Ontario,Both sexes,All age groups,"Persons with income of $250,000 and over",86300
