Year,Income,Province,Average Income Tax,Rank At Income
2016,10000,Alberta,2.89,7
2016,11000,Alberta,4.61,8
2016,12000,Alberta,6.04,9
2016,13000,Alberta,7.26,10
2016,14000,Alberta,8.3,10
2016,15000,Alberta,9.2,12
2016,16000,Alberta,9.99,13
2016,17000,Alberta,10.69,13
2016,18000,Alberta,11.31,13
2016,19000,Alberta,12.15,13
2016,20000,Alberta,13.13,13
2016,21000,Alberta,14.02,13
2016,22000,Alberta,14.83,13
2016,23000,Alberta,15.57,12
2016,24000,Alberta,16.25,12
2016,25000,Alberta,16.87,11
2016,26000,Alberta,17.44,11
2016,27000,Alberta,17.98,11
2016,28000,Alberta,18.47,10
2016,29000,Alberta,18.94,10
2016,30000,Alberta,19.37,10
2016,31000,Alberta,19.77,9
2016,32000,Alberta,20.14,9
2016,33000,Alberta,20.5,9
2016,34000,Alberta,20.83,8
2016,35000,Alberta,21.15,8
2016,36000,Alberta,21.44,8
2016,37000,Alberta,21.72,8
2016,38000,Alberta,21.98,8
2016,39000,Alberta,22.24,8
2016,40000,Alberta,22.48,8
2016,41000,Alberta,22.71,8
2016,42000,Alberta,22.93,8
2016,43000,Alberta,23.13,8
2016,44000,Alberta,23.33,8
2016,45000,Alberta,23.52,8
2016,46000,Alberta,23.79,8
2016,47000,Alberta,24.07,8
2016,48000,Alberta,24.35,8
2016,49000,Alberta,24.61,8
2016,50000,Alberta,24.87,8
2016,51000,Alberta,25.1,8
2016,52000,Alberta,25.3,8
2016,53000,Alberta,25.5,8
2016,54000,Alberta,25.68,8
2016,55000,Alberta,25.85,8
2016,56000,Alberta,25.94,8
2016,57000,Alberta,26.01,8
2016,58000,Alberta,26.09,8
2016,59000,Alberta,26.16,8
2016,60000,Alberta,26.23,8
2016,65000,Alberta,26.56,8
2016,70000,Alberta,26.84,8
2016,75000,Alberta,27.09,8
2016,80000,Alberta,27.3,8
2016,85000,Alberta,27.49,8
2016,90000,Alberta,27.66,8
2016,95000,Alberta,28.07,8
2016,100000,Alberta,28.46,8
2016,105000,Alberta,28.82,8
2016,110000,Alberta,29.14,8
2016,115000,Alberta,29.45,9
2016,120000,Alberta,29.72,9
2016,125000,Alberta,29.97,9
2016,130000,Alberta,30.28,10
2016,135000,Alberta,30.56,10
2016,140000,Alberta,30.83,10
2016,145000,Alberta,31.17,9
2016,150000,Alberta,31.5,10
2016,155000,Alberta,31.84,10
2016,160000,Alberta,32.16,10
2016,165000,Alberta,32.46,10
2016,170000,Alberta,32.73,10
2016,175000,Alberta,33.0,10
2016,180000,Alberta,33.25,10
2016,185000,Alberta,33.49,10
2016,190000,Alberta,33.71,10
2016,195000,Alberta,33.92,10
2016,200000,Alberta,34.13,10
2016,205000,Alberta,34.44,10
2016,210000,Alberta,34.73,10
2016,215000,Alberta,35.02,10
2016,220000,Alberta,35.29,10
2016,225000,Alberta,35.55,10
2016,230000,Alberta,35.81,10
2016,235000,Alberta,36.04,10
2016,240000,Alberta,36.27,10
2016,245000,Alberta,36.49,10
2016,250000,Alberta,36.7,10
2016,255000,Alberta,36.9,10
2016,260000,Alberta,37.09,10
2016,265000,Alberta,37.28,10
2016,270000,Alberta,37.46,10
2016,275000,Alberta,37.64,10
2016,280000,Alberta,37.81,10
2016,285000,Alberta,37.97,10
2016,290000,Alberta,38.12,10
2016,295000,Alberta,38.27,10
2016,300000,Alberta,38.41,10
2016,10000,British Columbia,2.89,8
2016,11000,British Columbia,5.06,6
2016,12000,British Columbia,6.87,7
2016,13000,British Columbia,8.42,6
2016,14000,British Columbia,9.74,6
2016,15000,British Columbia,10.88,6
2016,16000,British Columbia,11.88,6
2016,17000,British Columbia,12.77,7
2016,18000,British Columbia,13.55,8
2016,19000,British Columbia,14.25,8
2016,20000,British Columbia,14.88,8
2016,21000,British Columbia,15.45,10
2016,22000,British Columbia,15.97,10
2016,23000,British Columbia,16.44,10
2016,24000,British Columbia,16.89,10
2016,25000,British Columbia,17.28,10
2016,26000,British Columbia,17.65,10
2016,27000,British Columbia,17.99,10
2016,28000,British Columbia,18.31,11
2016,29000,British Columbia,18.61,11
2016,30000,British Columbia,18.89,11
2016,31000,British Columbia,19.14,11
2016,32000,British Columbia,19.38,11
2016,33000,British Columbia,19.61,11
2016,34000,British Columbia,19.83,11
2016,35000,British Columbia,20.03,11
2016,36000,British Columbia,20.22,11
2016,37000,British Columbia,20.4,11
2016,38000,British Columbia,20.56,11
2016,39000,British Columbia,20.78,11
2016,40000,British Columbia,21.0,11
2016,41000,British Columbia,21.21,11
2016,42000,British Columbia,21.41,11
2016,43000,British Columbia,21.59,11
2016,44000,British Columbia,21.77,11
2016,45000,British Columbia,21.95,11
2016,46000,British Columbia,22.2,11
2016,47000,British Columbia,22.47,12
2016,48000,British Columbia,22.73,12
2016,49000,British Columbia,22.99,12
2016,50000,British Columbia,23.23,12
2016,51000,British Columbia,23.45,12
2016,52000,British Columbia,23.63,12
2016,53000,British Columbia,23.82,12
2016,54000,British Columbia,23.99,12
2016,55000,British Columbia,24.14,12
2016,56000,British Columbia,24.22,12
2016,57000,British Columbia,24.29,12
2016,58000,British Columbia,24.36,12
2016,59000,British Columbia,24.42,12
2016,60000,British Columbia,24.48,12
2016,65000,British Columbia,24.77,12
2016,70000,British Columbia,25.01,12
2016,75000,British Columbia,25.23,12
2016,80000,British Columbia,25.54,12
2016,85000,British Columbia,25.86,12
2016,90000,British Columbia,26.19,12
2016,95000,British Columbia,26.8,12
2016,100000,British Columbia,27.37,12
2016,105000,British Columbia,27.89,12
2016,110000,British Columbia,28.43,11
2016,115000,British Columbia,28.97,11
2016,120000,British Columbia,29.46,10
2016,125000,British Columbia,29.91,10
2016,130000,British Columbia,30.32,9
2016,135000,British Columbia,30.71,8
2016,140000,British Columbia,31.06,8
2016,145000,British Columbia,31.49,8
2016,150000,British Columbia,31.9,8
2016,155000,British Columbia,32.28,8
2016,160000,British Columbia,32.64,8
2016,165000,British Columbia,32.98,8
2016,170000,British Columbia,33.29,8
2016,175000,British Columbia,33.59,8
2016,180000,British Columbia,33.87,8
2016,185000,British Columbia,34.14,8
2016,190000,British Columbia,34.39,8
2016,195000,British Columbia,34.62,8
2016,200000,British Columbia,34.85,8
2016,205000,British Columbia,35.17,8
2016,210000,British Columbia,35.46,8
