Ref_Date,GEO,COMM,Value
1990/10,Canada,All-items,79.5
1990/11,Canada,All-items,80.0
1990/12,Canada,All-items,79.9
1991/01,Canada,All-items,82.0
1991/02,Canada,All-items,82.0
1991/03,Canada,All-items,82.3
1991/04,Canada,All-items,82.3
1991/05,Canada,All-items,82.7
1991/06,Canada,All-items,83.1
1991/07,Canada,All-items,83.2
1991/08,Canada,All-items,83.3
1991/09,Canada,All-items,83.1
1991/10,Canada,All-items,83.0
1991/11,Canada,All-items,83.3
1991/12,Canada,All-items,82.9
1992/01,Canada,All-items,83.3
1992/02,Canada,All-items,83.3
1992/03,Canada,All-items,83.6
1992/04,Canada,All-items,83.7
1992/05,Canada,All-items,83.8
1992/06,Canada,All-items,84.0
1992/07,Canada,All-items,84.2
1992/08,Canada,All-items,84.2
1992/09,Canada,All-items,84.2
1992/10,Canada,All-items,84.3
1992/11,Canada,All-items,84.7
1992/12,Canada,All-items,84.7
1993/01,Canada,All-items,85.0
1993/02,Canada,All-items,85.3
1993/03,Canada,All-items,85.2
1993/04,Canada,All-items,85.2
1993/05,Canada,All-items,85.4
1993/06,Canada,All-items,85.4
1993/07,Canada,All-items,85.6
1993/08,Canada,All-items,85.7
1993/09,Canada,All-items,85.7
1993/10,Canada,All-items,85.9
1993/11,Canada,All-items,86.3
1993/12,Canada,All-items,86.1
1994/01,Canada,All-items,86.1
1994/02,Canada,All-items,85.4
1994/03,Canada,All-items,85.4
1994/04,Canada,All-items,85.4
1994/05,Canada,All-items,85.2
1994/06,Canada,All-items,85.4
1994/07,Canada,All-items,85.7
1994/08,Canada,All-items,85.8
1994/09,Canada,All-items,85.9
1994/10,Canada,All-items,85.7
1994/11,Canada,All-items,86.2
1994/12,Canada,All-items,86.3
1995/01,Canada,All-items,86.6
1995/02,Canada,All-items,87.0
1995/03,Canada,All-items,87.2
1995/04,Canada,All-items,87.5
1995/05,Canada,All-items,87.7
1995/06,Canada,All-items,87.7
1995/07,Canada,All-items,87.9
1995/08,Canada,All-items,87.7
1995/09,Canada,All-items,87.8
1995/10,Canada,All-items,87.7
1995/11,Canada,All-items,88.0
1995/12,Canada,All-items,87.8
1996/01,Canada,All-items,88.0
1996/02,Canada,All-items,88.1
1996/03,Canada,All-items,88.5
1996/04,Canada,All-items,88.7
1996/05,Canada,All-items,89.0
1996/06,Canada,All-items,89.0
1996/07,Canada,All-items,89.0
1996/08,Canada,All-items,89.0
1996/09,Canada,All-items,89.1
1996/10,Canada,All-items,89.3
1996/11,Canada,All-items,89.7
1996/12,Canada,All-items,89.7
1997/01,Canada,All-items,89.9
1997/02,Canada,All-items,90.1
1997/03,Canada,All-items,90.2
1997/04,Canada,All-items,90.2
1997/05,Canada,All-items,90.3
1997/06,Canada,All-items,90.5
1997/07,Canada,All-items,90.5
1997/08,Canada,All-items,90.6
1997/09,Canada,All-items,90.6
1997/10,Canada,All-items,90.6
1997/11,Canada,All-items,90.5
1997/12,Canada,All-items,90.4
1998/01,Canada,All-items,90.9
1998/02,Canada,All-items,91.0
1998/03,Canada,All-items,91.1
1998/04,Canada,All-items,91.0
1998/05,Canada,All-items,91.3
1998/06,Canada,All-items,91.4
1998/07,Canada,All-items,91.4
1998/08,Canada,All-items,91.4
1998/09,Canada,All-items,91.2
1998/10,Canada,All-items,91.6
1998/11,Canada,All-items,91.6
1998/12,Canada,All-items,91.3
1999/01,Canada,All-items,91.5
