Year,MonthNum,CPI,,,,,
1990,10,79.5,,,,,
1990,11,80,,,,,
1990,12,79.9,,,,,
1991,1,82,,,,,
1991,2,82,,,,,
1991,3,82.3,,,,,
1991,4,82.3,,,,,
1991,5,82.7,,,,,
1991,6,83.1,,,,,
1991,7,83.2,,,,,
1991,8,83.3,,,,,
1991,9,83.1,,,,,
1991,10,83,,,,,
1991,11,83.3,,,,,
1991,12,82.9,,,,,
1992,1,83.3,,,,,
1992,2,83.3,,,,,
1992,3,83.6,,,,,
1992,4,83.7,,,,,
1992,5,83.8,,,,,
1992,6,84,,,,,
1992,7,84.2,,,,,
1992,8,84.2,,,,,
1992,9,84.2,,,,,
1992,10,84.3,,,,,
1992,11,84.7,,,,,
1992,12,84.7,,,,,
1993,1,85,,,,,
1993,2,85.3,,,,,
1993,3,85.2,,,,,
1993,4,85.2,,,,,
1993,5,85.4,,,,,
1993,6,85.4,,,,,
1993,7,85.6,,,,,
1993,8,85.7,,,,,
1993,9,85.7,,,,,
1993,10,85.9,,,,,
1993,11,86.3,,,,,
1993,12,86.1,,,,,
1994,1,86.1,,,,,
1994,2,85.4,,,,,
1994,3,85.4,,,,,
1994,4,85.4,,,,,
1994,5,85.2,,,,,
1994,6,85.4,,,,,
1994,7,85.7,,,,,
1994,8,85.8,,,,,
1994,9,85.9,,,,,
1994,10,85.7,,,,,
1994,11,86.2,,,,,
1994,12,86.3,,,,,
1995,1,86.6,,,,,
1995,2,87,,,,,
1995,3,87.2,,,,,
1995,4,87.5,,,,,
1995,5,87.7,,,,,
1995,6,87.7,,,,,
1995,7,87.9,,,,,
1995,8,87.7,,,,,
1995,9,87.8,,,,,
1995,10,87.7,,,,,
1995,11,88,,,,,
1995,12,87.8,,,,,
1996,1,88,,,,,
1996,2,88.1,,,,,
1996,3,88.5,,,,,
1996,4,88.7,,,,,
1996,5,89,,,,,
1996,6,89,,,,,
1996,7,89,,,,,
1996,8,89,,,,,
1996,9,89.1,,,,,
1996,10,89.3,,,,,
1996,11,89.7,,,,,
1996,12,89.7,,,,,
1997,1,89.9,1.6,,,,
1997,2,90.1,,,,,
1997,3,90.2,,,,,
1997,4,90.2,,,,,
1997,5,90.3,,,,,
1997,6,90.5,,,,,
1997,7,90.5,,,,,
1997,8,90.6,,,,,
1997,9,90.6,,,,,
1997,10,90.6,,,,,
1997,11,90.5,,,,,
1997,12,90.4,,,,,
1998,1,90.9,1.9,,,,
1998,2,91,,,,,
1998,3,91.1,,,,,
1998,4,91,,,,,
1998,5,91.3,,,,,
1998,6,91.4,,,,,
1998,7,91.4,,,,,
1998,8,91.4,,,,,
1998,9,91.2,,,,,
1998,10,91.6,,,,,
1998,11,91.6,,,,,
1998,12,91.3,,,,,
1999,1,91.5,1.0,,,,
1999,2,91.6,,,,,
1999,3,92,,,,,
1999,4,92.5,,,,,
1999,5,92.7,,,,,
1999,6,92.9,,,,,
1999,7,93.1,,,,,
1999,8,93.3,,,,,
1999,9,93.6,,,,,
1999,10,93.7,,,,,
1999,11,93.6,,,,,
1999,12,93.7,,,,,
2000,1,93.5,1.4,,,,
2000,2,94.1,,,,,
2000,3,94.8,,,,,
2000,4,94.5,,,,,
