Income,Alberta,British Columbia,Manitoba,New Brunswick,Newfoundland and Labrador,Northwest Territories,Nova Scotia,Nunavut,Ontario,Prince Edward Island,Quebec,Saskatchewan,Yukon
5000,25.0,20.06,25.8,24.68,22.7,20.9,23.79,19.0,20.05,24.8,31.0,26.0,22.04
10000,25.0,20.06,25.8,24.68,22.7,20.9,23.79,19.0,20.05,24.8,31.0,26.0,22.04
15000,25.0,20.06,25.8,24.68,22.7,20.9,23.79,19.0,20.05,24.8,31.0,26.0,22.04
20000,25.0,20.06,25.8,24.68,22.7,20.9,23.79,19.0,20.05,24.8,31.0,26.0,22.04
25000,25.0,20.06,25.8,24.68,22.7,20.9,23.79,19.0,20.05,24.8,31.0,26.0,22.04
30000,25.0,20.06,25.8,24.68,22.7,20.9,23.87,19.0,20.05,24.8,31.0,26.0,22.04
35000,25.0,20.06,26.02,24.68,22.8,20.9,24.74,19.0,20.05,25.14,31.0,26.0,22.04
40000,25.0,20.22,26.24,24.77,23.39,20.91,25.39,19.0,20.05,25.6,31.0,26.0,22.04
45000,25.16,20.65,26.57,25.49,24.01,21.37,26.06,19.37,20.65,26.12,31.47,26.24,22.26
50000,25.85,21.56,27.39,26.63,25.06,22.3,27.15,20.34,21.71,27.09,32.53,27.12,23.21
55000,26.41,22.3,28.06,27.56,25.92,23.06,28.05,21.12,22.57,27.88,33.39,27.84,23.98
60000,26.87,22.92,28.61,28.32,26.63,23.68,28.81,21.77,23.28,28.54,34.1,28.43,24.62
65000,27.27,23.44,29.09,28.98,27.24,24.22,29.57,22.34,23.89,29.15,34.72,28.94,25.16
70000,27.6,23.88,29.69,29.53,27.77,24.66,30.21,22.8,24.4,29.82,35.23,29.36,25.62
75000,27.9,24.28,30.34,30.03,28.28,25.07,30.78,23.22,24.86,30.42,35.69,29.75,26.03
80000,28.15,24.78,30.9,30.47,28.71,25.42,31.27,23.58,25.24,30.93,36.08,30.07,26.38
85000,28.38,25.23,31.4,30.95,29.1,25.94,31.71,23.93,25.71,31.39,36.52,30.36,26.69
90000,28.67,25.8,31.94,31.46,29.53,26.49,32.18,24.41,26.21,31.89,37.14,30.71,27.1
95000,29.06,26.46,32.54,32.05,30.05,27.11,32.76,24.97,26.79,32.46,37.82,31.15,27.65
100000,29.41,27.06,33.09,32.57,30.52,27.67,33.3,25.48,27.31,32.98,38.43,31.54,28.14
105000,29.72,27.59,33.58,33.04,30.93,28.17,33.78,25.93,27.78,33.43,39.05,31.9,28.58
110000,30.01,28.19,34.03,33.48,31.32,28.63,34.23,26.34,28.21,33.86,39.63,32.22,28.99
115000,30.27,28.73,34.44,33.87,31.66,29.04,34.63,26.72,28.6,34.24,40.15,32.52,29.36
120000,30.51,29.23,34.81,34.23,31.98,29.43,35.0,27.07,28.96,34.6,40.64,32.79,29.69
125000,30.73,29.69,35.15,34.56,32.28,29.78,35.34,27.38,29.28,34.92,41.08,33.06,30.0
130000,30.93,30.11,35.47,34.89,32.54,30.11,35.65,27.67,29.58,35.22,41.49,33.36,30.29
135000,31.12,30.51,35.76,35.22,32.8,30.48,35.94,27.95,29.87,35.5,41.87,33.65,30.55
